Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 250, Objective: 0.055422dB, Best: 0.055422dB
Iteration 251, Objective: 0.055367dB, Best: 0.055367dB
Iteration 252, Objective: 0.055332dB, Best: 0.055332dB
Iteration 253, Objective: 0.055266dB, Best: 0.055266dB
Iteration 254, Objective: 0.055209dB, Best: 0.055209dB
Iteration 255, Objective: 0.055124dB, Best: 0.055124dB
Iteration 256, Objective: 0.055110dB, Best: 0.055110dB
Iteration 257, Objective: 0.055048dB, Best: 0.055048dB
Iteration 258, Objective: 0.055047dB, Best: 0.055047dB
Iteration 259, Objective: 0.054926dB, Best: 0.054926dB
Iteration 260, Objective: 0.054833dB, Best: 0.054833dB
Iteration 261, Objective: 0.054778dB, Best: 0.054778dB
Iteration 262, Objective: 0.054728dB, Best: 0.054728dB
Iteration 263, Objective: 0.054671dB, Best: 0.054671dB
Iteration 264, Objective: 0.054601dB, Best: 0.054601dB
Iteration 265, Objective: 0.054383dB, Best: 0.054383dB
Iteration 266, Objective: 0.054310dB, Best: 0.054310dB
Iteration 267, Objective: 0.054143dB, Best: 0.054143dB
Iteration 268, Objective: 0.054053dB, Best: 0.054053dB
Iteration 269, Objective: 0.053942dB, Best: 0.053942dB
Iteration 270, Objective: 0.053799dB, Best: 0.053799dB
Iteration 271, Objective: 0.053571dB, Best: 0.053571dB
Iteration 272, Objective: 0.053376dB, Best: 0.053376dB
Iteration 273, Objective: 0.053104dB, Best: 0.053104dB
Iteration 274, Objective: 0.052923dB, Best: 0.052923dB
Iteration 275, Objective: 0.052685dB, Best: 0.052685dB
Iteration 276, Objective: 0.052542dB, Best: 0.052542dB
Iteration 277, Objective: 0.052416dB, Best: 0.052416dB
Iteration 278, Objective: 0.052266dB, Best: 0.052266dB
Iteration 279, Objective: 0.052192dB, Best: 0.052192dB
Iteration 280, Objective: 0.051986dB, Best: 0.051986dB
Iteration 281, Objective: 0.051763dB, Best: 0.051763dB
Iteration 282, Objective: 0.051618dB, Best: 0.051618dB
Iteration 283, Objective: 0.051553dB, Best: 0.051553dB
Iteration 284, Objective: 0.051463dB, Best: 0.051463dB
Iteration 285, Objective: 0.051389dB, Best: 0.051389dB
Iteration 286, Objective: 0.051296dB, Best: 0.051296dB
Iteration 287, Objective: 0.051203dB, Best: 0.051203dB
Iteration 288, Objective: 0.050948dB, Best: 0.050948dB
Iteration 289, Objective: 0.050655dB, Best: 0.050655dB
Iteration 290, Objective: 0.050319dB, Best: 0.050319dB
Iteration 291, Objective: 0.050159dB, Best: 0.050159dB
Iteration 292, Objective: 0.049919dB, Best: 0.049919dB
Iteration 293, Objective: 0.049508dB, Best: 0.049508dB
Iteration 294, Objective: 0.049305dB, Best: 0.049305dB
Iteration 295, Objective: 0.049298dB, Best: 0.049298dB
Iteration 296, Objective: 0.049210dB, Best: 0.049210dB
Iteration 297, Objective: 0.048987dB, Best: 0.048987dB
Iteration 298, Objective: 0.048842dB, Best: 0.048842dB
Iteration 299, Objective: 0.048466dB, Best: 0.048466dB
Iteration 300, Objective: 0.048253dB, Best: 0.048253dB
Iteration 301, Objective: 0.048051dB, Best: 0.048051dB
Iteration 302, Objective: 0.047873dB, Best: 0.047873dB
Iteration 303, Objective: 0.047618dB, Best: 0.047618dB
Iteration 304, Objective: 0.047463dB, Best: 0.047463dB
Iteration 305, Objective: 0.047320dB, Best: 0.047320dB
Iteration 306, Objective: 0.047222dB, Best: 0.047222dB
Iteration 307, Objective: 0.047066dB, Best: 0.047066dB
Iteration 308, Objective: 0.046868dB, Best: 0.046868dB
Iteration 309, Objective: 0.046625dB, Best: 0.046625dB
Iteration 310, Objective: 0.046462dB, Best: 0.046462dB
Iteration 311, Objective: 0.046369dB, Best: 0.046369dB
Iteration 312, Objective: 0.046215dB, Best: 0.046215dB
Iteration 313, Objective: 0.046136dB, Best: 0.046136dB
Iteration 314, Objective: 0.046082dB, Best: 0.046082dB
Iteration 315, Objective: 0.045969dB, Best: 0.045969dB
Iteration 316, Objective: 0.045806dB, Best: 0.045806dB
Iteration 317, Objective: 0.045706dB, Best: 0.045706dB
Iteration 318, Objective: 0.045482dB, Best: 0.045482dB
Iteration 319, Objective: 0.045348dB, Best: 0.045348dB
Iteration 320, Objective: 0.045208dB, Best: 0.045208dB
