Using FFT length 65536
Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 261, Objective: 0.046155dB, Best: 0.046155dB
Iteration 262, Objective: 0.046094dB, Best: 0.046094dB
Iteration 263, Objective: 0.045985dB, Best: 0.045985dB
Iteration 264, Objective: 0.045923dB, Best: 0.045923dB
Iteration 265, Objective: 0.045730dB, Best: 0.045730dB
Iteration 266, Objective: 0.045631dB, Best: 0.045631dB
Iteration 267, Objective: 0.045452dB, Best: 0.045452dB
Iteration 268, Objective: 0.045406dB, Best: 0.045406dB
Iteration 269, Objective: 0.045350dB, Best: 0.045350dB
Iteration 270, Objective: 0.045281dB, Best: 0.045281dB
Iteration 271, Objective: 0.045215dB, Best: 0.045215dB
Iteration 272, Objective: 0.045131dB, Best: 0.045131dB
Iteration 273, Objective: 0.045080dB, Best: 0.045080dB
Iteration 274, Objective: 0.045007dB, Best: 0.045007dB
Iteration 275, Objective: 0.044958dB, Best: 0.044958dB
Iteration 276, Objective: 0.044921dB, Best: 0.044921dB
Iteration 277, Objective: 0.044877dB, Best: 0.044877dB
Iteration 278, Objective: 0.044860dB, Best: 0.044860dB
Iteration 279, Objective: 0.044805dB, Best: 0.044805dB
Iteration 280, Objective: 0.044694dB, Best: 0.044694dB
Iteration 281, Objective: 0.044590dB, Best: 0.044590dB
Iteration 282, Objective: 0.044518dB, Best: 0.044518dB
Iteration 283, Objective: 0.044392dB, Best: 0.044392dB
Iteration 284, Objective: 0.044309dB, Best: 0.044309dB
Iteration 285, Objective: 0.044195dB, Best: 0.044195dB
Iteration 286, Objective: 0.044189dB, Best: 0.044189dB
Iteration 287, Objective: 0.044128dB, Best: 0.044128dB
Iteration 288, Objective: 0.044078dB, Best: 0.044078dB
Iteration 289, Objective: 0.043949dB, Best: 0.043949dB
Iteration 290, Objective: 0.043886dB, Best: 0.043886dB
Iteration 291, Objective: 0.043809dB, Best: 0.043809dB
Iteration 292, Objective: 0.043764dB, Best: 0.043764dB
Iteration 293, Objective: 0.043717dB, Best: 0.043717dB
Iteration 294, Objective: 0.043669dB, Best: 0.043669dB
Iteration 295, Objective: 0.043597dB, Best: 0.043597dB
Iteration 296, Objective: 0.043474dB, Best: 0.043474dB
Iteration 297, Objective: 0.043473dB, Best: 0.043473dB
Iteration 298, Objective: 0.043408dB, Best: 0.043408dB
Iteration 299, Objective: 0.043293dB, Best: 0.043293dB
Iteration 300, Objective: 0.043221dB, Best: 0.043221dB
Iteration 301, Objective: 0.043217dB, Best: 0.043217dB
Iteration 302, Objective: 0.043148dB, Best: 0.043148dB
Iteration 303, Objective: 0.043069dB, Best: 0.043069dB
Iteration 304, Objective: 0.043040dB, Best: 0.043040dB
Iteration 305, Objective: 0.042990dB, Best: 0.042990dB
Iteration 306, Objective: 0.042938dB, Best: 0.042938dB
Iteration 307, Objective: 0.042888dB, Best: 0.042888dB
Iteration 308, Objective: 0.042824dB, Best: 0.042824dB
Iteration 309, Objective: 0.042775dB, Best: 0.042775dB
Iteration 310, Objective: 0.042721dB, Best: 0.042721dB
Iteration 311, Objective: 0.042683dB, Best: 0.042683dB
Iteration 312, Objective: 0.042609dB, Best: 0.042609dB
Iteration 313, Objective: 0.042502dB, Best: 0.042502dB
Iteration 314, Objective: 0.042415dB, Best: 0.042415dB
Iteration 315, Objective: 0.042352dB, Best: 0.042352dB
Iteration 316, Objective: 0.042320dB, Best: 0.042320dB
Iteration 317, Objective: 0.042260dB, Best: 0.042260dB
Iteration 318, Objective: 0.042171dB, Best: 0.042171dB
Iteration 319, Objective: 0.042053dB, Best: 0.042053dB
Iteration 320, Objective: 0.041803dB, Best: 0.041803dB
Iteration 321, Objective: 0.041694dB, Best: 0.041694dB
Iteration 322, Objective: 0.041618dB, Best: 0.041618dB
Iteration 323, Objective: 0.041377dB, Best: 0.041377dB
Iteration 324, Objective: 0.041072dB, Best: 0.041072dB
Iteration 325, Objective: 0.040907dB, Best: 0.040907dB
Iteration 326, Objective: 0.040761dB, Best: 0.040761dB
Iteration 327, Objective: 0.040649dB, Best: 0.040649dB
Iteration 328, Objective: 0.040589dB, Best: 0.040589dB
Iteration 329, Objective: 0.040537dB, Best: 0.040537dB
Iteration 330, Objective: 0.040394dB, Best: 0.040394dB
Iteration 331, Objective: 0.040303dB, Best: 0.040303dB
Iteration 332, Objective: 0.040270dB, Best: 0.040270dB
Iteration 333, Objective: 0.040229dB, Best: 0.040229dB
Iteration 334, Objective: 0.040214dB, Best: 0.040214dB
Iteration 335, Objective: 0.040061dB, Best: 0.040061dB
Iteration 336, Objective: 0.040006dB, Best: 0.040006dB
Iteration 337, Objective: 0.039856dB, Best: 0.039856dB
Iteration 338, Objective: 0.039717dB, Best: 0.039717dB
Iteration 339, Objective: 0.039668dB, Best: 0.039668dB
Iteration 340, Objective: 0.039597dB, Best: 0.039597dB
Iteration 341, Objective: 0.039543dB, Best: 0.039543dB
Iteration 342, Objective: 0.039513dB, Best: 0.039513dB
Iteration 343, Objective: 0.039418dB, Best: 0.039418dB
Iteration 344, Objective: 0.039306dB, Best: 0.039306dB
Iteration 345, Objective: 0.039243dB, Best: 0.039243dB
Iteration 346, Objective: 0.039207dB, Best: 0.039207dB
Iteration 347, Objective: 0.039104dB, Best: 0.039104dB
Iteration 348, Objective: 0.038986dB, Best: 0.038986dB
Iteration 349, Objective: 0.038893dB, Best: 0.038893dB
Iteration 350, Objective: 0.038834dB, Best: 0.038834dB
Iteration 351, Objective: 0.038802dB, Best: 0.038802dB
Iteration 352, Objective: 0.038774dB, Best: 0.038774dB
Iteration 353, Objective: 0.038748dB, Best: 0.038748dB
Iteration 354, Objective: 0.038691dB, Best: 0.038691dB
Iteration 355, Objective: 0.038595dB, Best: 0.038595dB
Iteration 356, Objective: 0.038459dB, Best: 0.038459dB
Iteration 357, Objective: 0.038421dB, Best: 0.038421dB
Iteration 358, Objective: 0.038263dB, Best: 0.038263dB
Iteration 359, Objective: 0.038194dB, Best: 0.038194dB
Iteration 360, Objective: 0.038139dB, Best: 0.038139dB
Iteration 361, Objective: 0.038079dB, Best: 0.038079dB
Iteration 362, Objective: 0.038012dB, Best: 0.038012dB
Iteration 363, Objective: 0.038007dB, Best: 0.038007dB
Iteration 364, Objective: 0.037967dB, Best: 0.037967dB
Iteration 365, Objective: 0.037918dB, Best: 0.037918dB
Iteration 366, Objective: 0.037856dB, Best: 0.037856dB
Iteration 367, Objective: 0.037839dB, Best: 0.037839dB
