Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 405, Objective: 0.046524dB, Best: 0.046524dB
Iteration 406, Objective: 0.046514dB, Best: 0.046514dB
Iteration 407, Objective: 0.046509dB, Best: 0.046509dB
Iteration 408, Objective: 0.046498dB, Best: 0.046498dB
Iteration 409, Objective: 0.046496dB, Best: 0.046496dB
Iteration 410, Objective: 0.046475dB, Best: 0.046475dB
Iteration 411, Objective: 0.046461dB, Best: 0.046461dB
Iteration 412, Objective: 0.046447dB, Best: 0.046447dB
Iteration 413, Objective: 0.046441dB, Best: 0.046441dB
Iteration 414, Objective: 0.046417dB, Best: 0.046417dB
Iteration 415, Objective: 0.046382dB, Best: 0.046382dB
Iteration 416, Objective: 0.046335dB, Best: 0.046335dB
Iteration 417, Objective: 0.046329dB, Best: 0.046329dB
Iteration 418, Objective: 0.046310dB, Best: 0.046310dB
Iteration 419, Objective: 0.046277dB, Best: 0.046277dB
Iteration 420, Objective: 0.046256dB, Best: 0.046256dB
Iteration 421, Objective: 0.046250dB, Best: 0.046250dB
Iteration 422, Objective: 0.046231dB, Best: 0.046231dB
Iteration 423, Objective: 0.046205dB, Best: 0.046205dB
Iteration 424, Objective: 0.046174dB, Best: 0.046174dB
Iteration 425, Objective: 0.046129dB, Best: 0.046129dB
Iteration 426, Objective: 0.046110dB, Best: 0.046110dB
Iteration 427, Objective: 0.046095dB, Best: 0.046095dB
Iteration 428, Objective: 0.046087dB, Best: 0.046087dB
Iteration 429, Objective: 0.046063dB, Best: 0.046063dB
Iteration 430, Objective: 0.046018dB, Best: 0.046018dB
Iteration 431, Objective: 0.046005dB, Best: 0.046005dB
Iteration 432, Objective: 0.045983dB, Best: 0.045983dB
Iteration 433, Objective: 0.045971dB, Best: 0.045971dB
Iteration 434, Objective: 0.045908dB, Best: 0.045908dB
Iteration 435, Objective: 0.045878dB, Best: 0.045878dB
Iteration 436, Objective: 0.045860dB, Best: 0.045860dB
Iteration 437, Objective: 0.045795dB, Best: 0.045795dB
Iteration 438, Objective: 0.045763dB, Best: 0.045763dB
Iteration 439, Objective: 0.045694dB, Best: 0.045694dB
