Using FFT length 65536
Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 206, Objective: 0.028607dB, Best: 0.028607dB
Iteration 207, Objective: 0.028571dB, Best: 0.028571dB
Iteration 208, Objective: 0.028551dB, Best: 0.028551dB
Iteration 209, Objective: 0.028529dB, Best: 0.028529dB
Iteration 210, Objective: 0.028484dB, Best: 0.028484dB
Iteration 211, Objective: 0.028443dB, Best: 0.028443dB
Iteration 212, Objective: 0.028392dB, Best: 0.028392dB
Iteration 213, Objective: 0.028358dB, Best: 0.028358dB
Iteration 214, Objective: 0.028347dB, Best: 0.028347dB
Iteration 215, Objective: 0.028258dB, Best: 0.028258dB
Iteration 216, Objective: 0.028234dB, Best: 0.028234dB
Iteration 217, Objective: 0.028177dB, Best: 0.028177dB
Iteration 218, Objective: 0.028157dB, Best: 0.028157dB
Iteration 219, Objective: 0.028105dB, Best: 0.028105dB
Iteration 220, Objective: 0.028074dB, Best: 0.028074dB
Iteration 221, Objective: 0.028032dB, Best: 0.028032dB
Iteration 222, Objective: 0.027990dB, Best: 0.027990dB
Iteration 223, Objective: 0.027912dB, Best: 0.027912dB
Iteration 224, Objective: 0.027857dB, Best: 0.027857dB
Iteration 225, Objective: 0.027780dB, Best: 0.027780dB
Iteration 226, Objective: 0.027705dB, Best: 0.027705dB
Iteration 227, Objective: 0.027648dB, Best: 0.027648dB
Iteration 228, Objective: 0.027598dB, Best: 0.027598dB
Iteration 229, Objective: 0.027531dB, Best: 0.027531dB
Iteration 230, Objective: 0.027490dB, Best: 0.027490dB
Iteration 231, Objective: 0.027452dB, Best: 0.027452dB
Iteration 232, Objective: 0.027424dB, Best: 0.027424dB
Iteration 233, Objective: 0.027396dB, Best: 0.027396dB
Iteration 234, Objective: 0.027357dB, Best: 0.027357dB
Iteration 235, Objective: 0.027310dB, Best: 0.027310dB
Iteration 236, Objective: 0.027271dB, Best: 0.027271dB
Iteration 237, Objective: 0.027237dB, Best: 0.027237dB
Iteration 238, Objective: 0.027203dB, Best: 0.027203dB
Iteration 239, Objective: 0.027175dB, Best: 0.027175dB
Iteration 240, Objective: 0.027147dB, Best: 0.027147dB
Iteration 241, Objective: 0.027098dB, Best: 0.027098dB
Iteration 242, Objective: 0.027081dB, Best: 0.027081dB
Iteration 243, Objective: 0.027017dB, Best: 0.027017dB
Iteration 244, Objective: 0.026983dB, Best: 0.026983dB
Iteration 245, Objective: 0.026962dB, Best: 0.026962dB
Iteration 246, Objective: 0.026940dB, Best: 0.026940dB
Iteration 247, Objective: 0.026935dB, Best: 0.026935dB
Iteration 248, Objective: 0.026908dB, Best: 0.026908dB
Iteration 249, Objective: 0.026890dB, Best: 0.026890dB
Iteration 250, Objective: 0.026875dB, Best: 0.026875dB
Iteration 251, Objective: 0.026870dB, Best: 0.026870dB
Iteration 252, Objective: 0.026847dB, Best: 0.026847dB
Iteration 253, Objective: 0.026846dB, Best: 0.026846dB
Iteration 254, Objective: 0.026813dB, Best: 0.026813dB
Iteration 255, Objective: 0.026793dB, Best: 0.026793dB
Iteration 256, Objective: 0.026776dB, Best: 0.026776dB
Iteration 257, Objective: 0.026759dB, Best: 0.026759dB
Iteration 258, Objective: 0.026748dB, Best: 0.026748dB
Iteration 259, Objective: 0.026727dB, Best: 0.026727dB
Iteration 260, Objective: 0.026711dB, Best: 0.026711dB
Iteration 261, Objective: 0.026699dB, Best: 0.026699dB
Iteration 262, Objective: 0.026686dB, Best: 0.026686dB
Iteration 263, Objective: 0.026677dB, Best: 0.026677dB
Iteration 264, Objective: 0.026671dB, Best: 0.026671dB
Iteration 265, Objective: 0.026660dB, Best: 0.026660dB
Iteration 266, Objective: 0.026642dB, Best: 0.026642dB
Iteration 267, Objective: 0.026639dB, Best: 0.026639dB
Iteration 268, Objective: 0.026624dB, Best: 0.026624dB
Iteration 269, Objective: 0.026603dB, Best: 0.026603dB
Iteration 270, Objective: 0.026589dB, Best: 0.026589dB
Iteration 271, Objective: 0.026569dB, Best: 0.026569dB
Iteration 272, Objective: 0.026555dB, Best: 0.026555dB
Iteration 273, Objective: 0.026545dB, Best: 0.026545dB
Iteration 274, Objective: 0.026531dB, Best: 0.026531dB
Iteration 275, Objective: 0.026530dB, Best: 0.026530dB
Iteration 276, Objective: 0.026516dB, Best: 0.026516dB
Iteration 277, Objective: 0.026501dB, Best: 0.026501dB
Iteration 278, Objective: 0.026490dB, Best: 0.026490dB
Iteration 279, Objective: 0.026479dB, Best: 0.026479dB
Iteration 280, Objective: 0.026464dB, Best: 0.026464dB
Iteration 281, Objective: 0.026454dB, Best: 0.026454dB
Iteration 282, Objective: 0.026435dB, Best: 0.026435dB
Iteration 283, Objective: 0.026409dB, Best: 0.026409dB
Iteration 284, Objective: 0.026408dB, Best: 0.026408dB
Iteration 285, Objective: 0.026387dB, Best: 0.026387dB
Iteration 286, Objective: 0.026360dB, Best: 0.026360dB
Iteration 287, Objective: 0.026358dB, Best: 0.026358dB
Iteration 288, Objective: 0.026346dB, Best: 0.026346dB
Iteration 289, Objective: 0.026329dB, Best: 0.026329dB
Iteration 290, Objective: 0.026317dB, Best: 0.026317dB
Iteration 291, Objective: 0.026301dB, Best: 0.026301dB
Iteration 292, Objective: 0.026290dB, Best: 0.026290dB
Iteration 293, Objective: 0.026277dB, Best: 0.026277dB
Iteration 294, Objective: 0.026255dB, Best: 0.026255dB
Iteration 295, Objective: 0.026237dB, Best: 0.026237dB
Iteration 296, Objective: 0.026190dB, Best: 0.026190dB
