Using random initial phases in range [-pi, pi]
Removing 279731 of 524289 phases from optimization, 244558 phases remaining
LF cutoff freq: 10.0Hz, HF cutoff freq: 22400.0Hz
Optimization Indices: [110;244667] ->  [10.07080078125;22399.932861328125]Hz
Building 287 filters... Done.
Starting optimization:
Sample Rate: 96000Hz
Signal length 10.922666666666666s (Number of Samples: 1048576)
Num Frequencies: 524289
Num Filters: 287
Iteration 399, Objective: 0.049810dB, Best: 0.049810dB
Iteration 400, Objective: 0.049791dB, Best: 0.049791dB
Iteration 401, Objective: 0.049762dB, Best: 0.049762dB
Iteration 402, Objective: 0.049741dB, Best: 0.049741dB
Iteration 403, Objective: 0.049719dB, Best: 0.049719dB
Iteration 404, Objective: 0.049689dB, Best: 0.049689dB
Iteration 405, Objective: 0.049650dB, Best: 0.049650dB
Iteration 406, Objective: 0.049625dB, Best: 0.049625dB
Iteration 407, Objective: 0.049561dB, Best: 0.049561dB
Iteration 408, Objective: 0.049507dB, Best: 0.049507dB
Iteration 409, Objective: 0.049489dB, Best: 0.049489dB
Iteration 410, Objective: 0.049486dB, Best: 0.049486dB
Iteration 411, Objective: 0.049448dB, Best: 0.049448dB
Iteration 412, Objective: 0.049424dB, Best: 0.049424dB
Iteration 413, Objective: 0.049406dB, Best: 0.049406dB
Iteration 414, Objective: 0.049399dB, Best: 0.049399dB
Iteration 415, Objective: 0.049388dB, Best: 0.049388dB
Iteration 416, Objective: 0.049386dB, Best: 0.049386dB
Iteration 417, Objective: 0.049367dB, Best: 0.049367dB
Iteration 418, Objective: 0.049338dB, Best: 0.049338dB
Iteration 419, Objective: 0.049320dB, Best: 0.049320dB
Iteration 420, Objective: 0.049289dB, Best: 0.049289dB
Iteration 421, Objective: 0.049274dB, Best: 0.049274dB
Iteration 422, Objective: 0.049253dB, Best: 0.049253dB
Iteration 423, Objective: 0.049237dB, Best: 0.049237dB
Iteration 424, Objective: 0.049206dB, Best: 0.049206dB
Iteration 425, Objective: 0.049203dB, Best: 0.049203dB
